"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",45.2380952380952,76.1904761904762,85.7142857142857,92.8571428571429,95.2380952380952,95.2380952380952,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_2",40.4761904761905,78.5714285714286,85.7142857142857,92.8571428571429,95.2380952380952,95.2380952380952,95.2380952380952,97.6190476190476,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_3",11.9047619047619,66.6666666666667,80.9523809523809,88.0952380952381,95.2380952380952,97.6190476190476,97.6190476190476,100,100,100,100,100,100,100,100,100,100,100,100,100
"Batch_4",30.952380952381,73.8095238095238,85.7142857142857,97.6190476190476,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Total",26.1904761904762,73.8095238095238,90.4761904761905,95.2380952380952,95.2380952380952,97.6190476190476,100,100,100,100,100,100,100,100,100,100,100,100,100,100
