"","sample","batch","78.02055","452.00345","138.96337","73.53838","385.12885","237.02815","222.02744","399.33298","394.23541","428.03716","207.01423","210.06077","397.06669","315.03262","174.08419","438.14243","161.0295","173.98804","133.07219","407.14259","451.97517","167.02071","500.2254","133.06077","553.32542","170.0326","211.10945","203.05255","170.06172","324.24879","245.13234","102.09132","263.13186","386.21715","228.99584","470.9348","242.07889","370.19102","336.94224","174.9828","136.0474","144.10058"
"20","batch05_QC20",2,7325.5,9243.6,10127,24721,62658,131030,27307,71301,35257,25154,575760,9574.7,22175,46989,23530,17479,43598,10765,6823.3,14604,30093,50342,2958.1,45661,44729,4125800,11854,4082000,29072,23206,9573.5,33450,72721,40326,31536,20897,852580,34534,20498,15325,204310,11106
"21","batch05_QC21",2,8565.96666666667,11605,10698,23941,69388,136740,27479,58229,36716,29480,575980,11382,24467,43012,29979,18651,46749,7844.3,6030.6,9352.2,33738,51950,2619.3,47621,42696,3868700,13643,4283800,25109,29331,14060,31512,72265,12982,31921,20585,843740,17371,20209,12971,193860,10912
"22","batch05_QC22",2,3581.8,14557,8300.7,20971,65066,140270,24308,67162,43701,24601,606110,9987.2,24079,47606,28044,19622,40802,8601,7466.1,15292,32922,49408,2412.5,41947,39025,3952700,17071,3988400,28563,33705,11554,31906,73706,25190,27420,21920,863070,21960,19367,15197,199970,9202
"23","batch05_QC23",2,6343.6,15671,9126.2,24039,58244,120310,27515,65257,41570,24994,579330,9431.34,22342,48245,24441,18138,45772,8832.2,7596,17716,31278,47119,4000.15,43827,40738,3711100,13357,4209400,28338,34710,15114,33360,76676,51247,33247,20526,783140,44427,22272,16374,188910,8618.2
"24","batch05_QC24",2,6133.8,12022,6055.1,23535,56161,124730,28717,59058,42481,25172,575690,9889.1,21666,49222,26362,18224,46917,7608.5,6631.2,14960,31665,45724,2887.5,47703,38097,3802000,12515,4226500,28102,30430,17962,27798,72731,12228,32341,21852,811840,14778,18236,12049,212170,10134
"25","batch06_QC25",3,8922.51,20504.4,5996.8,21681,57207,102570,26527,78539,52943,23037,614150,12420,18960,48434,28421,18484,46475,10590,5473.2,11036,32013,53929,6180.4,45077,48753,3658500,18361,3967500,27898,41824,16963,34030,69479,61339,19308,24521,582120,48505,17314,13392,203120,10590
"26","batch06_QC26",3,6039.5,20749,6142.8,21825,59858,112250,24383,64972,40961,25095,631900,8212.3,25777,60369,23109,19884,62365,9515.8,4409.8,11813,35624,52213,3858.9,48515,37279,3800400,7223.6,4239900,27940,37285,17899,34737,75758,20396,26378,26199,620020,23306,22657,16342,192650,9535.7
"27","batch06_QC27",3,8087.62857142857,10644,7992.9,25590,63529,123710,28053,80091,48940,29309,542580,6324.2,20739,56359,24977,16775,50390,10413,9394.3,15450,30563,48489,4751.8,47639,43227,3605200,15142,4444500,29032,37642,18695,36593,74905,39233,27121,21769,626660,34504,19123,13221,206740,9815.7
"28","batch06_QC28",3,7503.1,21874,7688.6,20691,54908,114580,22322,63024,48164,25550,639390,8767.6,22097,43848,23092,18317,45395,10346,6884.9,14846,33674,51404,5351.6,35418,37488,3476500,16252,4012200,29312,32017,19989,34096,64628,34318,26055,24298,811480,29677,21147,13126,190630,9313
"29","batch06_QC29",3,9224.025,14302,7089.4,26907,59301,99138,26918,72507,45009,28172,559340,6790,20816,63401,23939,17106,49926,10696,5163.3,14698,29492,48195,3529.2,49642,34502,3415700,13717,4376500,25351,31260,19662,32707,67383,31696,26121,18108,705630,23316,19762,12911,200140,10399
"30","batch07_QC30",4,29241,24164,5537.1,21542,43755,83849,67941,72344,38103,29960,607210,10713,20738,66491,59637,28840,44700,8804.4,4705.6,20337,33945,63424,5080,39406,28992,2448800,8066.7,3194000,26824,39526,10854.175,93392,62673,99315,32052,24729,603170,57658,19979,17058,113660,10866
"31","batch07_QC31",4,27576,24446,7514.8,25140,41463,65697,73345,81575,47320,31733,526510,9739.14,18212,77769,57110,28118,38861,11925,3931.8,23480,30592,57376,3702.6,48179,27946,2361100,15105,3206300,24872,39486,10854.175,93914,65440,101080,28167,19872,627840,52789,20877,16436,102890,10058
"32","batch07_QC32",4,26772,27146,7188.3,22283,43018,103490,64582,72696,40986,30749,620240,7470.9,22495,63540,58291,27370,48263,11125,4383.68,19417,30019,60780,5408.8,41495,23540,2359700,13883,2992400,23407,41568,10365,92383,57742,66547,34802,24901,625540,36474,18026,13246,111890,10093
"33","batch07_QC33",4,32191,24100,4339,23859,44216,59258,75196,76734,43544,33428,542430,9739.14,14916,67186,62899,26362,42730,7725.6,5044.22,21145,27069,59817,6427,47879,23573,2518200,15034,3169700,27519,43994,14432,94278,64542,65601,31198,19844,703290,34130,18026,21689,114220,11032
"34","batch07_QC34",4,27662,23152,8833.4,19105,45865,68660,67652,77018,38995,34529,627300,8137.3,16696,67263,56499,28423,46052,13680,4931.7,22278,28717,62336,8435.8,42269,23060,2442900,12544,2973500,24571,47467,11829,88320,59590,59593,30986,22226,668810,29348,18134,19653,125200,12109
"35","batch08_QC36",4,23698,28339,6092.6,20009,46274,51571,68283,69095,40099,30001,582400,8728.04,19333,65208,64936,24976,42764,8470.9,4789.32,20409,33194,58803,5100.6,44275,24833,2501000,14864,2947500,23774,42474,6611.2,70358,57021,52086,22017,25527,714580,24440,19123,18815,138790,8692.1
"36","batch08_QC37",4,27344,26214,6554.7,23489,49547,72522,67944,72860,39571,34644,533090,9459.36666666667,19329,57725,56274,30151,42588,9892.1,5043.63333333333,19781,28392,60786,13095,42009,21028,2673400,17272,3140000,23669,37988,11861,85012,66770,39324,31281,21685,707820,20612,17226,15358,131200,10805
"37","batch08_QC38",4,29325,23825,4549.9,19728,45095,63555,60004,66766,39081,27718,584930,8894.925,20284,73227,57259,25468,44166,10434,4522.6,19420,32600,58033,7979.7,37963,21159,2491600,16981,2928300,25017,42428,7544.2,84946,60208,62701,20414,27578,701420,29654,19924,17958,119150,9861.5
"38","batch08_QC39",4,33017,26974,5562.3,22904,45387,60515,72990,72664,35410,30259,555980,9258.5,20832,69709,50961,24781,44261,13696,5519.8,19928,30955,59594,7246.9,45513,18201,2669000,16081,3160300,22828,32050,11540,93222,61050,43704,30661,24586,683000,24779,19588,17911,121830,11360
